Date,PnL_Order,PnL_Category,PnL_Line,Entity,BusinessUnit,Prior_Year,Budget,Actual
2024-01-01,2,Revenue,Subscription Revenue,France,Hardware,501556,553201,550279
2024-01-01,3,Revenue,Service Revenue,France,Hardware,291187,322701,313849
2024-01-01,4,Revenue,Support & Maintenance,France,Hardware,148577,165960,161537
2024-01-01,5,COGS,Direct Materials,France,Hardware,-192324,-219509,-213529
2024-01-01,6,COGS,Direct Labor,France,Hardware,-185555,-202624,-204184
2024-01-01,7,COGS,Cloud & Hosting,France,Hardware,-90863,-101312,-97120
2024-01-01,8,COGS,Support Delivery,France,Hardware,-69722,-75984,-71716
2024-01-01,9,Operating Expenses,Sales,France,Hardware,-133985,-151968,-153890
2024-01-01,10,Operating Expenses,Marketing,France,Hardware,-113456,-126640,-124749
2024-01-01,11,Operating Expenses,Research & Development,France,Hardware,-170074,-185739,-187365
2024-01-01,12,Operating Expenses,General & Administrative,France,Hardware,-102096,-109755,-107306
2024-01-01,13,Operating Expenses,IT & Systems,France,Hardware,-52172,-59099,-59867
2024-01-01,14,Operating Expenses,Facilities & Rent,France,Hardware,-46173,-50656,-48496
2024-01-01,15,Operating Expenses,Depreciation & Amort.,France,Hardware,-42408,-46435,-46766
2024-01-01,16,Other,Interest Income,France,Hardware,9388,10131,10058
2024-01-01,17,Other,Interest Expense,France,Hardware,-21273,-23639,-22456
2024-01-01,18,Other,FX Gain/(Loss),France,Hardware,-11423,-12664,-12228
2024-01-01,19,Other,Other Income/(Expense),France,Hardware,-15361,-16885,-16750
2024-01-01,20,Other,Income Tax,France,Hardware,-70120,-75984,-74620
2024-01-01,1,Revenue,Product Revenue,Germany,Software,1043685,1106402,1127518
2024-01-01,2,Revenue,Subscription Revenue,Germany,Software,750867,829801,809546
2024-01-01,3,Revenue,Service Revenue,Germany,Software,441018,484051,474226
2024-01-01,4,Revenue,Support & Maintenance,Germany,Software,233468,248940,246547
2024-01-01,5,COGS,Direct Materials,Germany,Software,-289512,-329264,-320144
2024-01-01,6,COGS,Direct Labor,Germany,Software,-267539,-303936,-298705
2024-01-01,7,COGS,Cloud & Hosting,Germany,Software,-136871,-151968,-154687
2024-01-01,8,COGS,Support Delivery,Germany,Software,-104017,-113976,-110158
2024-01-01,9,Operating Expenses,Sales,Germany,Software,-215604,-227952,-222377
2024-01-01,10,Operating Expenses,Marketing,Germany,Software,-168122,-189960,-190994
2024-01-01,11,Operating Expenses,Research & Development,Germany,Software,-247643,-278608,-273594
2024-01-01,12,Operating Expenses,General & Administrative,Germany,Software,-150972,-164632,-166143
2024-01-01,13,Operating Expenses,IT & Systems,Germany,Software,-77858,-88648,-84982
2024-01-01,14,Operating Expenses,Facilities & Rent,Germany,Software,-66861,-75984,-72186
2024-01-01,15,Operating Expenses,Depreciation & Amort.,Germany,Software,-63819,-69652,-67378
2024-01-01,16,Other,Interest Income,Germany,Software,14270,15197,15050
2024-01-01,17,Other,Interest Expense,Germany,Software,-32882,-35459,-35935
2024-01-01,18,Other,FX Gain/(Loss),Germany,Software,-17380,-18996,-18949
2024-01-01,19,Other,Other Income/(Expense),Germany,Software,23075,25328,24579
2024-01-01,20,Other,Income Tax,Germany,Software,-106087,-113976,-109653
2024-01-01,1,Revenue,Product Revenue,Germany,Services,594801,663841,631615
2024-01-01,2,Revenue,Subscription Revenue,Germany,Services,469766,497881,473621
2024-01-01,3,Revenue,Service Revenue,Germany,Services,269323,290430,290899
2024-01-01,4,Revenue,Support & Maintenance,Germany,Services,141225,149364,143358
2024-01-01,5,COGS,Direct Materials,Germany,Services,-180263,-197558,-197491
2024-01-01,6,COGS,Direct Labor,Germany,Services,-163119,-182362,-177785
2024-01-01,7,COGS,Cloud & Hosting,Germany,Services,-85083,-91181,-87429
2024-01-01,8,COGS,Support Delivery,Germany,Services,-63234,-68386,-67553
2024-01-01,9,Operating Expenses,Sales,Germany,Services,-125783,-136771,-129704
2024-01-01,10,Operating Expenses,Marketing,Germany,Services,-105699,-113976,-107359
2024-01-01,11,Operating Expenses,Research & Development,Germany,Services,-146670,-167165,-166649
2024-01-01,12,Operating Expenses,General & Administrative,Germany,Services,-88070,-98779,-93420
2024-01-01,13,Operating Expenses,IT & Systems,Germany,Services,-48831,-53189,-52384
2024-01-01,14,Operating Expenses,Facilities & Rent,Germany,Services,-42317,-45590,-45213
2024-01-01,15,Operating Expenses,Depreciation & Amort.,Germany,Services,-38284,-41791,-42264
2024-01-01,16,Other,Interest Income,Germany,Services,8470,9118,8611
2024-01-01,17,Other,Interest Expense,Germany,Services,-19346,-21276,-20345
2024-01-01,18,Other,FX Gain/(Loss),Germany,Services,-10069,-11398,-10931
2024-01-01,19,Other,Other Income/(Expense),Germany,Services,13511,15197,14571
2024-01-01,20,Other,Income Tax,Germany,Services,-63643,-68386,-65855
2024-01-01,1,Revenue,Product Revenue,Germany,Hardware,815260,885121,847599
2024-01-01,2,Revenue,Subscription Revenue,Germany,Hardware,592449,663841,665105
2024-01-01,3,Revenue,Service Revenue,Germany,Hardware,338345,387241,389033
2024-01-01,4,Revenue,Support & Maintenance,Germany,Hardware,179446,199152,188869
2024-01-01,5,COGS,Direct Materials,Germany,Hardware,-240904,-263411,-263994
2024-01-01,6,COGS,Direct Labor,Germany,Hardware,-218766,-243149,-240397
2024-01-01,7,COGS,Cloud & Hosting,Germany,Hardware,-111913,-121574,-115146
2024-01-01,8,COGS,Support Delivery,Germany,Hardware,-82521,-91181,-91688
2024-01-01,9,Operating Expenses,Sales,Germany,Hardware,-171738,-182362,-185093
2024-01-01,10,Operating Expenses,Marketing,Germany,Hardware,-132842,-151968,-148083
2024-01-01,11,Operating Expenses,Research & Development,Germany,Hardware,-198851,-222887,-218418
2024-01-01,12,Operating Expenses,General & Administrative,Germany,Hardware,-118803,-131706,-132954
2024-01-01,13,Operating Expenses,IT & Systems,Germany,Hardware,-64223,-70918,-69477
2024-01-01,14,Operating Expenses,Facilities & Rent,Germany,Hardware,-54534,-60787,-59142
2024-01-01,15,Operating Expenses,Depreciation & Amort.,Germany,Hardware,-51684,-55722,-54970
2024-01-01,16,Other,Interest Income,Germany,Hardware,10647,12157,11993
2024-01-01,17,Other,Interest Expense,Germany,Hardware,-24999,-28367,-27829
2024-01-01,18,Other,FX Gain/(Loss),Germany,Hardware,-13803,-15197,-14494
2024-01-01,19,Other,Other Income/(Expense),Germany,Hardware,18026,20262,19865
2024-01-01,20,Other,Income Tax,Germany,Hardware,-79778,-91181,-86991
2024-01-01,1,Revenue,Product Revenue,United Kingdom,Software,773288,829801,845429
2024-01-01,2,Revenue,Subscription Revenue,United Kingdom,Software,577107,622351,599666
2024-01-01,3,Revenue,Service Revenue,United Kingdom,Software,329653,363038,359442
2024-01-01,4,Revenue,Support & Maintenance,United Kingdom,Software,174060,186705,181804
2024-01-01,5,COGS,Direct Materials,United Kingdom,Software,-216620,-246948,-243364
2024-01-01,6,COGS,Direct Labor,United Kingdom,Software,-202743,-227952,-225970
2024-01-01,7,COGS,Cloud & Hosting,United Kingdom,Software,-102069,-113976,-111702
2024-01-01,8,COGS,Support Delivery,United Kingdom,Software,-78638,-85482,-82500
2024-01-01,9,Operating Expenses,Sales,United Kingdom,Software,-155733,-170964,-170389
2024-01-01,10,Operating Expenses,Marketing,United Kingdom,Software,-130265,-142470,-137598
2024-01-01,11,Operating Expenses,Research & Development,United Kingdom,Software,-191974,-208956,-196825
2024-01-01,12,Operating Expenses,General & Administrative,United Kingdom,Software,-116764,-123474,-116659
2024-01-01,13,Operating Expenses,IT & Systems,United Kingdom,Software,-62336,-66486,-67334
2024-01-01,14,Operating Expenses,Facilities & Rent,United Kingdom,Software,-51425,-56988,-55950
2024-01-01,15,Operating Expenses,Depreciation & Amort.,United Kingdom,Software,-47999,-52239,-53147
2024-01-01,16,Other,Interest Income,United Kingdom,Software,10282,11398,10900
2024-01-01,17,Other,Interest Expense,United Kingdom,Software,-24752,-26594,-25122
2024-01-01,18,Other,FX Gain/(Loss),United Kingdom,Software,-13181,-14247,-14327
2024-01-01,19,Other,Other Income/(Expense),United Kingdom,Software,17508,18996,18199
2024-01-01,20,Other,Income Tax,United Kingdom,Software,-79381,-85482,-81787
2024-01-01,1,Revenue,Product Revenue,United Kingdom,Services,459080,497881,492608
2024-01-01,2,Revenue,Subscription Revenue,United Kingdom,Services,353017,373411,354977
2024-01-01,3,Revenue,Service Revenue,United Kingdom,Services,192351,217823,215538
2024-01-01,4,Revenue,Support & Maintenance,United Kingdom,Services,99257,112023,108195
2024-01-01,5,COGS,Direct Materials,United Kingdom,Services,-137268,-148169,-142551
2024-01-01,6,COGS,Direct Labor,United Kingdom,Services,-125471,-136771,-133293
2024-01-01,7,COGS,Cloud & Hosting,United Kingdom,Services,-64306,-68386,-65858
2024-01-01,8,COGS,Support Delivery,United Kingdom,Services,-48353,-51289,-50686
2024-01-01,9,Operating Expenses,Sales,United Kingdom,Services,-93921,-102578,-103636
2024-01-01,10,Operating Expenses,Marketing,United Kingdom,Services,-80830,-85482,-80480
2024-01-01,11,Operating Expenses,Research & Development,United Kingdom,Services,-111023,-125374,-123251
2024-01-01,12,Operating Expenses,General & Administrative,United Kingdom,Services,-69850,-74084,-69825
2024-01-01,13,Operating Expenses,IT & Systems,United Kingdom,Services,-36193,-39892,-38336
2024-01-01,14,Operating Expenses,Facilities & Rent,United Kingdom,Services,-30534,-34193,-33024
2024-01-01,15,Operating Expenses,Depreciation & Amort.,United Kingdom,Services,-29270,-31343,-30478
2024-01-01,16,Other,Interest Income,United Kingdom,Services,6192,6839,6734
2024-01-01,17,Other,Interest Expense,United Kingdom,Services,-14211,-15957,-15736
2024-01-01,18,Other,FX Gain/(Loss),United Kingdom,Services,-7688,-8548,-8369
2024-01-01,19,Other,Other Income/(Expense),United Kingdom,Services,10006,11398,11358
2024-01-01,20,Other,Income Tax,United Kingdom,Services,-45164,-51289,-51420
2024-01-01,1,Revenue,Product Revenue,United Kingdom,Hardware,614140,663841,662121
2024-01-01,2,Revenue,Subscription Revenue,United Kingdom,Hardware,442779,497881,506013
2024-01-01,3,Revenue,Service Revenue,United Kingdom,Hardware,271867,290430,273397
2024-01-01,4,Revenue,Support & Maintenance,United Kingdom,Hardware,140210,149364,144716
2024-01-01,5,COGS,Direct Materials,United Kingdom,Hardware,-175149,-197558,-199343
2024-01-01,6,COGS,Direct Labor,United Kingdom,Hardware,-159858,-182362,-177976
2024-01-01,7,COGS,Cloud & Hosting,United Kingdom,Hardware,-85441,-91181,-91038
2024-01-01,8,COGS,Support Delivery,United Kingdom,Hardware,-60798,-68386,-66258
2024-01-01,9,Operating Expenses,Sales,United Kingdom,Hardware,-122585,-136771,-138508
2024-01-01,10,Operating Expenses,Marketing,United Kingdom,Hardware,-106117,-113976,-108039
2024-01-01,11,Operating Expenses,Research & Development,United Kingdom,Hardware,-150843,-167165,-163968
2024-01-01,12,Operating Expenses,General & Administrative,United Kingdom,Hardware,-88715,-98779,-97864
2024-01-01,13,Operating Expenses,IT & Systems,United Kingdom,Hardware,-46586,-53189,-52685
2024-01-01,14,Operating Expenses,Facilities & Rent,United Kingdom,Hardware,-40989,-45590,-45652
2024-01-01,15,Operating Expenses,Depreciation & Amort.,United Kingdom,Hardware,-38740,-41791,-40449
2024-01-01,16,Other,Interest Income,United Kingdom,Hardware,8161,9118,8799
2024-01-01,17,Other,Interest Expense,United Kingdom,Hardware,-19643,-21276,-21050
2024-01-01,18,Other,FX Gain/(Loss),United Kingdom,Hardware,10602,11398,11232
2024-01-01,19,Other,Other Income/(Expense),United Kingdom,Hardware,13884,15197,15201
2024-01-01,20,Other,Income Tax,United Kingdom,Hardware,-60862,-68386,-65874
2024-01-01,1,Revenue,Product Revenue,Spain,Software,496983,553201,523338
2024-01-01,2,Revenue,Subscription Revenue,Spain,Software,386039,414901,399596
2024-01-01,3,Revenue,Service Revenue,Spain,Software,213995,242025,230387
2024-01-01,4,Revenue,Support & Maintenance,Spain,Software,113645,124470,122060
2024-01-01,5,COGS,Direct Materials,Spain,Software,-155018,-164632,-155467
2024-01-01,6,COGS,Direct Labor,Spain,Software,-136701,-151968,-154737
2024-01-01,7,COGS,Cloud & Hosting,Spain,Software,-68217,-75984,-72198
2024-01-01,8,COGS,Support Delivery,Spain,Software,-53134,-56988,-57929
2024-01-01,9,Operating Expenses,Sales,Spain,Software,-103409,-113976,-115715
2024-01-01,10,Operating Expenses,Marketing,Spain,Software,-89813,-94980,-90030
2024-01-01,11,Operating Expenses,Research & Development,Spain,Software,-126062,-139304,-131314
2024-01-01,12,Operating Expenses,General & Administrative,Spain,Software,-74395,-82316,-83323
2024-01-01,13,Operating Expenses,IT & Systems,Spain,Software,-40319,-44324,-42960
2024-01-01,14,Operating Expenses,Facilities & Rent,Spain,Software,-33740,-37992,-37152
2024-01-01,15,Operating Expenses,Depreciation & Amort.,Spain,Software,-32684,-34826,-34264
2024-01-01,16,Other,Interest Income,Spain,Software,6679,7598,7478
2024-01-01,17,Other,Interest Expense,Spain,Software,-16026,-17730,-16770
2024-01-01,18,Other,FX Gain/(Loss),Spain,Software,8810,9498,9444
2024-01-01,19,Other,Other Income/(Expense),Spain,Software,-11332,-12664,-12561
2024-01-01,20,Other,Income Tax,Spain,Software,-53166,-56988,-57273
2024-01-01,1,Revenue,Product Revenue,Spain,Services,307587,331921,334382
2024-01-01,2,Revenue,Subscription Revenue,Spain,Services,223654,248940,238135
2024-01-01,3,Revenue,Service Revenue,Spain,Services,137058,145215,137115
2024-01-01,4,Revenue,Support & Maintenance,Spain,Services,66583,74682,74860
2024-01-01,5,COGS,Direct Materials,Spain,Services,-87403,-98779,-99685
2024-01-01,6,COGS,Direct Labor,Spain,Services,-82028,-91181,-86491
2024-01-01,7,COGS,Cloud & Hosting,Spain,Services,-42619,-45590,-45007
2024-01-01,8,COGS,Support Delivery,Spain,Services,-31993,-34193,-34790
2024-01-01,9,Operating Expenses,Sales,Spain,Services,-60000,-68386,-66233
2024-01-01,10,Operating Expenses,Marketing,Spain,Services,-53006,-56988,-57468
2024-01-01,11,Operating Expenses,Research & Development,Spain,Services,-74857,-83582,-81165
2024-01-01,12,Operating Expenses,General & Administrative,Spain,Services,-43851,-49390,-49144
2024-01-01,13,Operating Expenses,IT & Systems,Spain,Services,-23795,-26594,-25607
2024-01-01,14,Operating Expenses,Facilities & Rent,Spain,Services,-20294,-22795,-23048
2024-01-01,15,Operating Expenses,Depreciation & Amort.,Spain,Services,-19706,-20896,-20487
2024-01-01,16,Other,Interest Income,Spain,Services,4048,4559,4558
2024-01-01,17,Other,Interest Expense,Spain,Services,-9448,-10638,-10491
2024-01-01,18,Other,FX Gain/(Loss),Spain,Services,-5026,-5699,-5419
2024-01-01,19,Other,Other Income/(Expense),Spain,Services,-6927,-7598,-7403
2024-01-01,20,Other,Income Tax,Spain,Services,-30110,-34193,-32209
2024-01-01,1,Revenue,Product Revenue,Spain,Hardware,386875,442561,449337
2024-01-01,2,Revenue,Subscription Revenue,Spain,Hardware,301562,331921,316572
2024-01-01,3,Revenue,Service Revenue,Spain,Hardware,178101,193620,188136
2024-01-01,4,Revenue,Support & Maintenance,Spain,Hardware,93556,99576,100590
2024-01-01,5,COGS,Direct Materials,Spain,Hardware,-118371,-131706,-130659
2024-01-01,6,COGS,Direct Labor,Spain,Hardware,-106656,-121574,-115876
2024-01-01,7,COGS,Cloud & Hosting,Spain,Hardware,-55916,-60787,-59353
2024-01-01,8,COGS,Support Delivery,Spain,Hardware,-41208,-45590,-45608
2024-01-01,9,Operating Expenses,Sales,Spain,Hardware,-85911,-91181,-88974
2024-01-01,10,Operating Expenses,Marketing,Spain,Hardware,-70331,-75984,-74012
2024-01-01,11,Operating Expenses,Research & Development,Spain,Hardware,-97956,-111443,-104999
2024-01-01,12,Operating Expenses,General & Administrative,Spain,Hardware,-59777,-65853,-62273
2024-01-01,13,Operating Expenses,IT & Systems,Spain,Hardware,-32151,-35459,-34894
2024-01-01,14,Operating Expenses,Facilities & Rent,Spain,Hardware,-27715,-30394,-29905
2024-01-01,15,Operating Expenses,Depreciation & Amort.,Spain,Hardware,-24547,-27861,-27071
2024-01-01,16,Other,Interest Income,Spain,Hardware,5416,6079,5900
2024-01-01,17,Other,Interest Expense,Spain,Hardware,-12686,-14184,-14112
2024-01-01,18,Other,FX Gain/(Loss),Spain,Hardware,-6882,-7598,-7568
2024-01-01,19,Other,Other Income/(Expense),Spain,Hardware,-9230,-10131,-9782
2024-01-01,20,Other,Income Tax,Spain,Hardware,-42628,-45590,-45985
2024-01-01,1,Revenue,Product Revenue,Italy,Software,605162,645401,650156
2024-01-01,2,Revenue,Subscription Revenue,Italy,Software,444377,484051,463847
2024-01-01,3,Revenue,Service Revenue,Italy,Software,266841,282363,275145
2024-01-01,4,Revenue,Support & Maintenance,Italy,Software,127890,145215,141348
2024-01-01,5,COGS,Direct Materials,Italy,Software,-173546,-192071,-187830
2024-01-01,6,COGS,Direct Labor,Italy,Software,-156065,-177296,-170375
2024-01-01,7,COGS,Cloud & Hosting,Italy,Software,-82919,-88648,-84931
2024-01-01,8,COGS,Support Delivery,Italy,Software,-60493,-66486,-67411
2024-01-01,9,Operating Expenses,Sales,Italy,Software,-123299,-132972,-126061
2024-01-01,10,Operating Expenses,Marketing,Italy,Software,-103576,-110810,-112079
2024-01-01,11,Operating Expenses,Research & Development,Italy,Software,-153098,-162521,-161673
2024-01-01,12,Operating Expenses,General & Administrative,Italy,Software,-85978,-96035,-91167
2024-01-01,13,Operating Expenses,IT & Systems,Italy,Software,-47585,-51711,-50759
2024-01-01,14,Operating Expenses,Facilities & Rent,Italy,Software,-40017,-44324,-44836
2024-01-01,15,Operating Expenses,Depreciation & Amort.,Italy,Software,-36346,-40630,-39692
2024-01-01,16,Other,Interest Income,Italy,Software,7804,8865,8480
2024-01-01,17,Other,Interest Expense,Italy,Software,-18744,-20685,-19874
2024-01-01,18,Other,FX Gain/(Loss),Italy,Software,-10256,-11081,-11146
2024-01-01,19,Other,Other Income/(Expense),Italy,Software,12952,14775,14358
2024-01-01,20,Other,Income Tax,Italy,Software,-61889,-66486,-66001
2024-01-01,1,Revenue,Product Revenue,Italy,Services,360982,387241,379778
2024-01-01,2,Revenue,Subscription Revenue,Italy,Services,271657,290430,287429
2024-01-01,3,Revenue,Service Revenue,Italy,Services,148533,169418,166603
2024-01-01,4,Revenue,Support & Maintenance,Italy,Services,77789,87129,86856
2024-01-01,5,COGS,Direct Materials,Italy,Services,-108354,-115242,-114324
2024-01-01,6,COGS,Direct Labor,Italy,Services,-99084,-106378,-102477
2024-01-01,7,COGS,Cloud & Hosting,Italy,Services,-50218,-53189,-50079
2024-01-01,8,COGS,Support Delivery,Italy,Services,-37297,-39892,-40167
2024-01-01,9,Operating Expenses,Sales,Italy,Services,-72929,-79783,-80768
2024-01-01,10,Operating Expenses,Marketing,Italy,Services,-61141,-66486,-67633
2024-01-01,11,Operating Expenses,Research & Development,Italy,Services,-88666,-97513,-96144
2024-01-01,12,Operating Expenses,General & Administrative,Italy,Services,-54341,-57621,-58508
2024-01-01,13,Operating Expenses,IT & Systems,Italy,Services,-27404,-31027,-30804
2024-01-01,14,Operating Expenses,Facilities & Rent,Italy,Services,-23573,-26594,-25430
2024-01-01,15,Operating Expenses,Depreciation & Amort.,Italy,Services,-21951,-24378,-23734
2024-01-01,16,Other,Interest Income,Italy,Services,4706,5319,5038
2024-01-01,17,Other,Interest Expense,Italy,Services,-11562,-12411,-12596
2024-01-01,18,Other,FX Gain/(Loss),Italy,Services,-6217,-6649,-6635
2024-01-01,19,Other,Other Income/(Expense),Italy,Services,-8265,-8865,-8747
2024-01-01,20,Other,Income Tax,Italy,Services,-36069,-39892,-39709
2024-01-01,1,Revenue,Product Revenue,Italy,Hardware,488141,516321,495743
2024-01-01,2,Revenue,Subscription Revenue,Italy,Hardware,351981,387241,367900
2024-01-01,3,Revenue,Service Revenue,Italy,Hardware,207098,225890,221190
2024-01-01,4,Revenue,Support & Maintenance,Italy,Hardware,102077,116172,112342
2024-01-01,5,COGS,Direct Materials,Italy,Hardware,-139677,-153657,-146326
2024-01-01,6,COGS,Direct Labor,Italy,Hardware,-132450,-141837,-135524
2024-01-01,7,COGS,Cloud & Hosting,Italy,Hardware,-64311,-70918,-69942
2024-01-01,8,COGS,Support Delivery,Italy,Hardware,-49630,-53189,-50717
2024-01-01,9,Operating Expenses,Sales,Italy,Hardware,-98941,-106378,-103082
2024-01-01,10,Operating Expenses,Marketing,Italy,Hardware,-82767,-88648,-88962
2024-01-01,11,Operating Expenses,Research & Development,Italy,Hardware,-117504,-130017,-131399
2024-01-01,12,Operating Expenses,General & Administrative,Italy,Hardware,-72342,-76828,-78085
2024-01-01,13,Operating Expenses,IT & Systems,Italy,Hardware,-37323,-41369,-39647
2024-01-01,14,Operating Expenses,Facilities & Rent,Italy,Hardware,-33307,-35459,-33875
2024-01-01,15,Operating Expenses,Depreciation & Amort.,Italy,Hardware,-28650,-32504,-31280
2024-01-01,16,Other,Interest Income,Italy,Hardware,6507,7092,7029
2024-01-01,17,Other,Interest Expense,Italy,Hardware,-14826,-16548,-16143
2024-01-01,18,Other,FX Gain/(Loss),Italy,Hardware,-8152,-8865,-8984
2024-01-01,19,Other,Other Income/(Expense),Italy,Hardware,10564,11820,11666
2024-01-01,20,Other,Income Tax,Italy,Hardware,-49979,-53189,-52647
2024-01-01,1,Revenue,Product Revenue,United States,Software,1338010,1475202,1428875
2024-01-01,2,Revenue,Subscription Revenue,United States,Software,1042236,1106402,1088642
2024-01-01,3,Revenue,Service Revenue,United States,Software,608839,645401,645732
2024-01-01,4,Revenue,Support & Maintenance,United States,Software,305656,331921,337081
2024-01-01,5,COGS,Direct Materials,United States,Software,-397449,-439019,-443345
2024-01-01,6,COGS,Direct Labor,United States,Software,-372658,-405248,-382522
2024-01-01,7,COGS,Cloud & Hosting,United States,Software,-188982,-202624,-197288
2024-01-01,8,COGS,Support Delivery,United States,Software,-143237,-151968,-145907
2024-01-01,9,Operating Expenses,Sales,United States,Software,-280052,-303936,-302278
2024-01-01,10,Operating Expenses,Marketing,United States,Software,-233979,-253280,-246693
2024-01-01,11,Operating Expenses,Research & Development,United States,Software,-347744,-371478,-359067
2024-01-01,12,Operating Expenses,General & Administrative,United States,Software,-193168,-219509,-211551
2024-01-01,13,Operating Expenses,IT & Systems,United States,Software,-110617,-118197,-116452
2024-01-01,14,Operating Expenses,Facilities & Rent,United States,Software,-93202,-101312,-97399
2024-01-01,15,Operating Expenses,Depreciation & Amort.,United States,Software,-83069,-92869,-90762
2024-01-01,16,Other,Interest Income,United States,Software,18264,20262,20435
2024-01-01,17,Other,Interest Expense,United States,Software,-42972,-47279,-46379
2024-01-01,18,Other,FX Gain/(Loss),United States,Software,22212,25328,25452
2024-01-01,19,Other,Other Income/(Expense),United States,Software,31609,33771,32257
2024-01-01,20,Other,Income Tax,United States,Software,-136081,-151968,-144983
2024-01-01,1,Revenue,Product Revenue,United States,Services,832268,885121,872916
2024-01-01,2,Revenue,Subscription Revenue,United States,Services,583164,663841,640625
2024-01-01,3,Revenue,Service Revenue,United States,Services,356321,387241,373046
2024-01-01,4,Revenue,Support & Maintenance,United States,Services,180526,199152,194473
2024-01-01,5,COGS,Direct Materials,United States,Services,-237895,-263411,-261811
2024-01-01,6,COGS,Direct Labor,United States,Services,-228913,-243149,-239410
2024-01-01,7,COGS,Cloud & Hosting,United States,Services,-108222,-121574,-116548
2024-01-01,8,COGS,Support Delivery,United States,Services,-83248,-91181,-89767
2024-01-01,9,Operating Expenses,Sales,United States,Services,-172166,-182362,-184463
2024-01-01,10,Operating Expenses,Marketing,United States,Services,-135170,-151968,-147231
2024-01-01,11,Operating Expenses,Research & Development,United States,Services,-197490,-222887,-221340
2024-01-01,12,Operating Expenses,General & Administrative,United States,Services,-119488,-131706,-125668
2024-01-01,13,Operating Expenses,IT & Systems,United States,Services,-64526,-70918,-71583
2024-01-01,14,Operating Expenses,Facilities & Rent,United States,Services,-57015,-60787,-61740
2024-01-01,15,Operating Expenses,Depreciation & Amort.,United States,Services,-50165,-55722,-54029
2024-01-01,16,Other,Interest Income,United States,Services,11025,12157,11632
2024-01-01,17,Other,Interest Expense,United States,Services,-25682,-28367,-28578
2024-01-01,18,Other,FX Gain/(Loss),United States,Services,-14349,-15197,-15192
2024-01-01,19,Other,Other Income/(Expense),United States,Services,-18471,-20262,-19752
2024-01-01,20,Other,Income Tax,United States,Services,-83011,-91181,-89526
2024-01-01,1,Revenue,Product Revenue,United States,Hardware,1089196,1180162,1168703
